compound_id,hetnet_rank,hetnet_best_metapath,hetnet_best_target,hetnet_dwpc,hetnet_p_value_bonferroni,significant,rank,best_record_score,total_potency,max_evidence,hits_eef1a,best_protein,in_resko_ranking,in_hetnet_ranking,in_both
CHEMBL2140408,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2144069,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL2146883,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL215152,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2165191,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL217092,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2180604,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2216870,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2219422,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL221959,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2220486,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL223360,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL230011,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2323775,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2325741,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2336325,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2364611,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2376648,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2386889,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2396661,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2403108,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL2408045,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL242529,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL24828,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL253969,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL255863,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL259084,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL270995,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL274654,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
