compound_id	canonical_smiles	inchikey	pref_name	max_phase	alogp	mw
CHEMBL1801204	COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO	KVLFRAWTRWDEDF-IRXDYDNUSA-N	AZD-8055	1.0	2.64	465.55
CHEMBL2079588	CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1	QFCXANHHBCGMAS-UHFFFAOYSA-N	TELATINIB	2.0	3.95	409.83
CHEMBL575448	C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1	LQVXSNNAFNGRAH-QHCPKHFHSA-N	BMS-754807	2.0	3.61	461.51
CHEMBL1078178	N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1	ZVHNDZWQTBEVRY-UHFFFAOYSA-N	MOMELOTINIB	4.0	2.98	414.47
CHEMBL180022	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C	JWNPDZNEKVCWMY-VQHVLOKHSA-N	NERATINIB	4.0	5.93	557.05
CHEMBL1201182	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	CBPNZQVSJQDFBE-FUXHJELOSA-N	TEMSIROLIMUS	4.0		1030.30
CHEMBL1230165	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	MUOKSQABCJCOPU-UHFFFAOYSA-N	SILMITASERTIB	2.0	4.88	349.78
CHEMBL3128043	Cc1nc(Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1	AYCPARAPKDAOEN-LJQANCHMSA-N	PF-03758309	1.0	4.53	490.64
CHEMBL1229517	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F	GPXBXXGIAQBQNI-UHFFFAOYSA-N	VEMURAFENIB	4.0	5.54	489.93
CHEMBL495727	O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1	LOLPPWBBNUVNQZ-UHFFFAOYSA-N	AT-9283	2.0	2.07	381.44
