compound_id	target_chembl_id	protein_id	standard_type	standard_relation	standard_value	standard_units	pchembl_value	assay_type	assay_chembl_id	target_organism	data_validity_comment	activity_comment
CHEMBL1090090	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3039525	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL189963	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1233300	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL402548	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3813873	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545366	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545307	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1171837	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3991927	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2087361	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL274654	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL565612	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3109738	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1950289	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1231124	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3188551	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545396	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1667969	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL38380	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
