stitch_chemical	stitch_name	molecular_weight	stitch_smiles	compound_id	pubchem_cid
CIDs00451597	PANS 5'-monophosphate	374.289622	CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)N)O	PUBCHEM:451597	451597
CIDs00475367	AC1L9SSV	156.097462	C(C(=O)O)P(=S)(O)O	PUBCHEM:475367	475367
CIDs00609289	AC1LCZ7S	315.381883	CC(C)(C)C1=CC=C(C=C1)C(=O)NCCOC2=CC=CC=C2F	CHEMBL1488586	609289
CIDs00645210	AC1LDAY6	384.357783	CC1=C(C(NC(=O)N1)C2=CC=C(C=C2)F)C(=O)OCC3=CC4=C(C=C3)OCO4	CHEMBL1605795	645210
CIDs00651433	AC1OCX1K	260.29174	CC(C)C1=CC=C(C=C1)C2=NN(N=N2)CCC(=O)O	CHEMBL1329446	651433
CIDs00665332	T6375761	306.40478	CC1CCN(CC1)C2=CC(=NC3=C(C=NN23)C4=CC=CC=C4)C	CHEMBL1524482	665332
CIDs00694255	AC1LEXOX	284.37604	C1CCN(C1)C2=NC(=O)C(=CC=CC3=CC=CC=C3)S2	CHEMBL1352897	694255
CIDs00778068	ksc-8-51	301.33706	CC(C)(C)C1=CC=C(O1)C(=O)NC2=CC=C(C=C2)CC(=O)O	CHEMBL1537098	778068
CIDs00838877	AC1LHJD2	299.32602	C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC(=NO3)C4=CC=CC=N4	CHEMBL405317	838877
CIDs00848023	AC1LI2XE	322.38426	CC1=CC(=NC(=C1C#N)SCC2=NN=C(O2)C3=CC=CC=C3)C	CHEMBL1470676	848023
CIDs00866501	AC1LHOAV	321.41942	CC1=CC(=CC=C1)N2C3=C(C=N2)C(=NC=N3)N(C)C4CCCCC4	CHEMBL1361922	866501
CIDs00867602	AC1LHQM7	277.34364	C1=CC=C(C=C1)C2=CN3C(=N2)SC(=N3)C4=CC=CC=C4	CHEMBL1310144	867602
CIDs00891145	3-[(4-ethoxyphenoxy)methyl]benzoic acid	272.29584	CCOC1=CC=C(C=C1)OCC2=CC=CC(=C2)C(=O)O	CHEMBL1587117	891145
CIDs01014820	AC1LK9W8	395.43168	CC1=C(C=C(C=C1)C(=O)NC2=C(C(=C(S2)C)C3=CC=CC=C3)C(=O)N)[N+](=O)[O-]	CHEMBL1310435	1014820
CIDs01151030	LS-40231	480.6389	CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC	PUBCHEM:1151030	1151030
CIDs01194328	T5660652	362.44812	CC1=CC(=C(N1C2=CC=CC=C2)C)C(=O)CSC3=NN=C4N3C=CC=C4	CHEMBL1332512	1194328
CIDs01238357	AC1LOE3E	368.47584	CC1=C(N=C(C(=C1C)C#N)SCC(=O)NC2=NC3=CC=CC=C3S2)C	CHEMBL1506503	1238357
CIDs01276569	AC1LOZXL	372.44294	CC1=CC(=C(N1C2=CC=CC=N2)C)C=C3C(=O)N4C5=CC=CC=C5N=C4S3	CHEMBL1884996	1276569
CIDs01416750	AC1LR2WT	380.25956	CC1=CC(=C(C=C1)OCC(=O)NC(=S)NC2=CC=CC=N2)Br	CHEMBL1518184	1416750
CIDs01452801	AC1LRSO5	287.31378	CC(C)(C)C(=O)NC1=CN=C(C=C1)NC(=O)C2=CC=CO2	CHEMBL1461730	1452801
CIDs01481829	6W-0211	278.30526	CC1=CC=C(C=C1)N2C=C(C=N2)C(=O)C3=CC=CC=C3O	CHEMBL1383149	1481829
CIDs01486505	8J-320S	377.496003	CC1=CC(=CC(=C1OC(=S)N(C)C)C)C(=O)CSC2=CC=C(C=C2)F	CHEMBL1403014	1486505
CIDs01548886	sulindac	355.402643	CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)[O-]	CHEMBL15770	1548886
CIDs01776080	AC1LWHNA	343.418423	CC1=CC(=C(N1C2=CC=CC=C2F)C)C=C3C(=O)N(C(=NC)S3)C	CHEMBL1910655	1776080
CIDs02056784	AC1M0U13	270.71364	CC1=CC(=C(C=C1)C2=NC(=NO2)C3=CC=CC=C3)Cl	CHEMBL261123	2056784
CIDs02215233	AC1M3MDE	312.38614	CC(C)OC(=O)C1=C(C2=C(S1)N=C(C=C2)C3=CC=CC=C3)N	CHEMBL1470904	2215233
CIDs02252810	AC1M48EM	320.156343	C1=CC=C(C=C1)C(=O)C=CNC2=C(C=C(C=C2)F)Br	CHEMBL1573366	2252810
CIDs02319352	AC1M50DI	273.31034	CC1=CC(=NO1)NC(=O)C2=CC3=C(C=C2)N=C(S3)C	CHEMBL1606031	2319352
CIDs02324822	AC1M597T	353.44136	CCN1C(=NC2=C1C=CC(=C2)C(=O)NNC(=S)NC3=CC=CC=C3)C	CHEMBL1320007	2324822
CIDs02360548	AC1M5TQX	329.431643	CC1CC[NH+](CC1)CC(=O)C2=C(N(C(=C2)C)C3=CC=CC=C3F)C	CHEMBL1351963	2360548
CIDs02367404	AC1OBK1Z	404.50468	CCOC1=CC=CC=C1N2C3=CC=CC=[N+]3C(=C2S)C(=O)NC4=CC=C(C=C4)C	CHEMBL1363796	2367404
CIDs02401486	AC1M6MT7	394.2597	CC1=CC(=C(N1CCOC)C)C(=O)COC(=O)C2=CC=CC=C2Br	CHEMBL1417851	2401486
CIDs02403508	AC1M6QGF	327.33128	CC1=CC(=C(N1CC2=CC=CO2)C)C(=O)COC(=O)C3=CC=CO3	CHEMBL1610938	2403508
CIDs02408490	T5517345	281.35226	C1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CC=N3	CHEMBL1339678	2408490
CIDs02409986	AC1M72LB	369.43416	CC1=CC(=C(N1CC2=CC=CS2)C)C(=O)COC(=O)C3=CC=CC=C3O	CHEMBL1392142	2409986
CIDs02410811	AC1M747X	373.53542	CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=NC3=C(S2)CCCC3	CHEMBL1320794	2410811
CIDs02742284	AC1Q2HP2	324.80408	CC1=CC(=C(N1C2=CC=CC=C2)C)C(=O)NC3=CC=C(C=C3)Cl	CHEMBL1406361	2742284
CIDs02812530	AC1Q2U3M	289.3312	CCC1=CC2=NC(=CN2C=C1)C3=CC(=NO3)C4=CC=CC=C4	CHEMBL1525789	2812530
CIDs02815175	AC1Q5HEM	373.3798	C1COC2=C(C=C(C=C2)C(=O)CN3C(=O)C4=CC=CC=C4S3(=O)=O)OC1	CHEMBL1562575	2815175
CIDs02823045	AC1ME6L3	335.37818	CCCS(=O)(=O)C1=CN=C(N=C1N)C2COC3=CC=CC=C3O2	CHEMBL1605021	2823045
CIDs03000226	fusidic acid	516.70922	CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C	CHEMBL1256987	3000226
CIDs03000715	thiopentone	242.33782	CCCC(C)C1(C(=O)NC(=S)NC1=O)CC	CHEMBL441	3000715
CIDs03080744	poly(rCm	337.223102	COC1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	PUBCHEM:3080744	3080744
CIDs03097536	AC1MJSXK	281.35226	CC(C)(C)C(=O)NC1=CC=C(C=C1)N=NC2=CC=CC=C2	CHEMBL1385073	3097536
CIDs03129671	AC1MJ10T	282.33372	C1COC2=C(O1)C=CC(=C2)C(=O)CCCC3=CC=CC=C3	CHEMBL1480522	3129671
CIDs03219869	AC1MLHBY	340.4426	CC1CCCCN1C2=NC=NC3=C2SN=C3C4=CC=C(C=C4)OC	CHEMBL1376674	3219869
